Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3997.7450486007033,0.2975,6.309573444801942e-10,8.7,0.08,0.22,0.98,0.7,0.87,0.95,0.1,0.25,6.0,0.8,0.25,0.1,3.8,2.5
2.0,-4253.975442486929,0.3,1.0e-12,6.5,0.1,0.16,0.92,0.65,1.0,1.0,0.08,1.5,14.0,0.75,0.3,0.15,5.0,2.5
3.0,-4028.324912697568,0.3,1.0e-9,6.1,0.085,0.14,0.96,0.75,0.9,1.0,0.12,3.75,6.0,0.8,0.25,0.25,5.1,1.5
