Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4003.6797026176187,0.3,2.5118864315095823e-12,5.7,0.11,0.21,0.92,0.6,0.98,1.0,0.1,2.25,3.0,0.8,0.45,0.2,5.0,1.9
2.0,-4262.38108944708,0.3,3.9810717055349695e-12,5.7,0.13,0.195,0.93,0.6,1.0,0.95,0.08,1.75,6.0,0.7,0.4,0.15,4.4,2.7
3.0,-4034.9852313784572,0.3,2.5118864315095823e-11,8.3,0.1,0.15,0.94,0.65,0.94,1.0,0.14,1.75,6.0,0.8,0.4,0.3,2.2,2.7
