Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4001.0537058683226,0.3,0.025118864315095794,9.1,0.08,0.2,0.96,0.75,0.91,0.95,0.1,1.75,6.0,0.75,0.25,0.1,3.7,2.7
2.0,-4269.440202461132,0.3,0.01,8.3,0.09,0.09,0.97,0.65,0.88,1.0,0.1,0.0,10.0,0.8,0.2,0.25,4.3,2.3
3.0,-4029.5201728093703,0.3,1.0e-9,6.7,0.1,0.21,0.96,0.55,0.92,1.0,0.1,1.5,6.0,0.8,0.35,0.25,5.0,1.7
