Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3927.2399048999027,0.05,0.00025118864315095795,6.1,0.125,0.11,0.91,0.7,1.0,0.85,0.06,0.35,1.5,5.0,0.95,0.35,0.3,3.3,2.5
2.0,-4198.16677311417,0.0275,1.584893192461111e-12,5.1,0.13,0.155,0.97,0.75,0.96,0.85,0.04,0.7,4.0,6.0,0.8,0.5,0.4,3.4,1.5
3.0,-3957.5880384322854,0.0375,0.0025118864315095794,4.7,0.15,0.09,0.99,0.7,0.89,0.85,0.06,0.55,0.0,6.0,0.75,0.2,0.35,4.2,1.7
