Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4095.6333796935687,0.05,0.015848931924611134,5.3,0.205,0.165,0.93,0.95,0.93,0.85,0.12,0.5,0.0,4.0,0.65,0.55,0.25,3.7,2.1
2.0,-4373.405203224144,0.045,0.0025118864315095794,5.9,0.305,0.1,0.96,0.95,0.9,0.95,0.08,0.6,0.0,12.0,0.7,0.8,0.4,3.6,2.1
3.0,-4110.114140367295,0.07,0.015848931924611134,10.9,0.22,0.135,0.92,0.95,0.95,0.8,0.08,0.6,0.0,5.0,0.9,0.8,0.55,1.3,4.1
