Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3926.11129013319,0.0225,3.981071705534969e-6,6.3,0.11,0.185,0.95,0.65,0.94,0.9,0.08,0.5,2.5,14.0,0.9,0.45,0.3,3.9,1.7
2.0,-4191.078587379876,0.0225,0.003981071705534973,5.3,0.14,0.12,0.94,0.6,0.99,1.0,0.06,0.45,0.0,6.0,0.7,0.25,0.25,4.5,2.1
3.0,-3954.9656046493624,0.035,0.001584893192461114,7.1,0.105,0.135,0.99,0.65,0.91,1.0,0.04,0.45,2.75,6.0,0.85,0.5,0.35,3.4,2.5
