Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-4023.4053013378493,0.0425,1.0e-12,14.9,0.12,0.045,0.93,0.7,0.99,0.8,0.04,0.6,4.25,4.9
2.0,-4278.338215234904,0.035,1.0e-12,12.7,0.135,0.075,0.93,0.65,1.0,0.9,0.04,0.75,3.75,4.1
3.0,-4031.618432930423,0.03,0.039810717055349734,14.9,0.135,0.08,0.99,0.6,0.92,1.0,0.02,0.85,3.5,5.1
