Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-4025.5295939010643,0.0375,1.0e-12,14.7,0.145,0.05,0.93,0.7,1.0,0.75,0.04,0.6,4.5,4.9
2.0,-4279.989823628057,0.0375,1.0e-12,14.9,0.12,0.05,0.94,0.65,0.99,0.9,0.04,0.55,3.5,5.1
3.0,-4038.4625756981577,0.0375,0.01,13.5,0.17,0.13,0.99,0.5,0.93,1.0,0.02,0.8,2.75,4.1
