Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4081.212461091519,0.07,0.015848931924611134,9.3,0.28,0.17,0.94,0.95,0.92,0.8,0.08,0.45,0.0,5.0,0.95,0.8,0.55,2.0,2.9
2.0,-4365.963609432634,0.1875,0.039810717055349734,14.9,0.14,0.04,0.95,0.95,0.96,0.9,0.02,0.35,0.0,5.0,0.8,0.7,0.55,0.6,8.1
3.0,-4120.909585983454,0.1325,0.039810717055349734,14.1,0.11,0.105,0.96,0.95,0.89,0.85,0.08,0.25,0.0,6.0,0.85,0.65,0.45,1.5,4.3
