Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3936.3712887419188,0.0575,0.0001,7.1,0.105,0.125,0.92,0.7,1.0,0.95,0.04,0.3,3.25,5.0,0.9,0.5,0.3,3.5,2.7
2.0,-4192.50322862746,0.02,0.0025118864315095794,5.7,0.095,0.215,0.96,0.75,0.93,0.85,0.08,0.5,3.25,12.0,0.7,0.35,0.15,4.5,1.9
3.0,-3959.5120934691513,0.0525,0.00630957344480193,14.5,0.07,0.07,0.99,0.65,0.9,1.0,0.04,0.35,0.75,6.0,0.9,0.5,0.45,1.6,5.1
