Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4086.5602248303953,0.0425,0.025118864315095794,3.5,0.31,0.4,0.94,0.95,0.92,0.8,0.1,0.55,0.0,7.0,1.0,0.45,0.3,5.8,0.9
2.0,-4344.2820294917165,0.07,0.00630957344480193,5.1,0.25,0.14,0.94,0.95,0.95,0.95,0.06,0.4,0.0,6.0,0.7,0.7,0.3,4.2,2.3
3.0,-4098.841317511921,0.0975,0.015848931924611134,5.3,0.54,0.275,0.94,0.95,0.92,0.65,0.08,0.4,0.0,12.0,0.7,0.8,0.45,3.6,2.1
