Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-4024.5813224483,0.03,1.0e-12,14.9,0.155,0.065,0.98,0.6,0.94,0.9,0.04,0.6,3.25,4.7
2.0,-4278.728987184266,0.03,1.0e-12,14.5,0.135,0.09,0.93,0.55,1.0,1.0,0.04,0.75,2.75,4.3
3.0,-4031.618432930423,0.03,0.039810717055349734,14.9,0.135,0.08,0.99,0.6,0.92,1.0,0.02,0.85,3.5,5.1
