Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-3011.885033399414,0.045,0.015848931924611134,14.9,0.135,0.07,0.95,0.6,0.96,1.0,0.02,0.65,3.75,6.1
2.0,-3293.105578622236,0.04,0.025118864315095794,14.9,0.13,0.03,0.99,0.75,0.91,0.9,0.02,0.8,7.0,5.1
3.0,-3325.1349542755424,0.0375,0.01,14.9,0.105,0.04,0.98,0.75,0.92,0.85,0.04,0.65,6.0,4.9
