Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2929.4075792060635,0.0175,0.001584893192461114,7.9,0.115,0.135,0.94,0.65,0.98,0.9,0.06,0.6,1.5,10.0,0.75,0.4,0.3,2.6,3.1
2.0,-3217.7753829885255,0.0425,0.000630957344480193,8.9,0.08,0.055,0.96,0.85,0.96,0.75,0.04,0.2,2.0,11.0,0.8,0.3,0.3,3.8,3.5
3.0,-3226.8031457120132,0.025,0.0001,10.7,0.08,0.135,0.97,0.55,0.93,1.0,0.06,0.25,0.5,10.0,0.85,0.4,0.25,3.1,3.5
