Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3014.6784266509712,0.0475,0.00630957344480193,10.1,0.355,0.185,0.93,0.95,0.95,0.85,0.02,0.85,0.0,5.0,0.85,0.9,0.65,1.6,4.1
2.0,-3318.4006222271505,0.175,0.003981071705534973,4.5,0.26,0.165,0.96,0.95,0.9,0.85,0.0,0.6,0.0,6.0,0.6,0.7,0.3,3.8,2.1
3.0,-3402.618408789289,0.055,0.015848931924611134,6.1,0.115,0.05,0.95,0.95,0.95,1.0,0.04,0.35,0.25,5.0,0.75,0.45,0.4,5.1,2.3
