Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2973.528352619191,0.295,0.00025118864315095795,5.7,0.11,0.165,0.95,0.65,0.94,1.0,0.12,1.75,15.0,0.5,0.25,0.15,4.8,2.3
2.0,-3272.758099390607,0.3,0.015848931924611134,6.9,0.095,0.145,0.95,0.75,0.96,0.85,0.1,5.0,2.0,0.65,0.4,0.2,4.8,2.1
3.0,-3277.4270407463096,0.2975,1.584893192461111e-12,7.3,0.075,0.105,0.95,0.8,0.91,0.9,0.12,4.75,11.0,0.75,0.2,0.2,5.3,1.9
