Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3014.6784266509712,0.0475,0.00630957344480193,10.1,0.355,0.185,0.93,0.95,0.95,0.85,0.02,0.85,0.0,5.0,0.85,0.9,0.65,1.6,4.1
2.0,-3308.723970030781,0.0775,0.015848931924611134,9.3,0.36,0.095,0.92,0.95,0.99,0.75,0.04,0.65,0.0,4.0,0.8,0.85,0.45,1.3,4.9
3.0,-3399.9756630082193,0.03,0.01,7.7,0.205,0.135,0.98,0.95,0.93,1.0,0.04,0.25,0.0,4.0,0.9,0.75,0.45,5.3,2.5
