Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2929.9995024319196,0.025,6.30957344480193e-6,6.9,0.105,0.105,0.9,0.65,1.0,0.85,0.06,0.35,0.75,4.0,0.7,0.3,0.25,4.2,3.1
2.0,-3217.525445523171,0.0225,0.000630957344480193,7.1,0.115,0.145,0.96,0.65,0.94,1.0,0.08,0.4,3.25,11.0,0.75,0.45,0.25,3.2,2.7
3.0,-3225.8364429647468,0.03,0.0025118864315095794,5.7,0.125,0.08,0.94,0.8,1.0,0.7,0.04,0.35,3.5,10.0,0.7,0.35,0.3,4.6,2.7
