Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2928.410910644237,0.025,0.001,6.7,0.115,0.095,0.97,0.6,0.94,1.0,0.04,0.35,1.75,10.0,0.7,0.35,0.35,5.0,2.7
2.0,-3215.2740849118695,0.03,0.0025118864315095794,8.5,0.08,0.115,0.94,0.85,0.98,0.8,0.06,0.4,6.5,10.0,0.8,0.4,0.2,2.9,3.1
3.0,-3220.882319302596,0.0625,0.0025118864315095794,5.3,0.135,0.09,0.97,0.75,0.95,0.9,0.04,0.3,3.25,10.0,0.7,0.3,0.25,3.9,2.9
