Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2978.851020506888,0.3,6.309573444801942e-11,5.7,0.1,0.11,0.91,0.85,0.98,0.75,0.14,5.25,11.0,0.5,0.2,0.15,4.4,2.5
2.0,-3275.7679729133465,0.3,0.015848931924611134,5.1,0.13,0.17,0.93,0.75,1.0,0.7,0.1,2.75,6.0,0.45,0.25,0.1,5.9,2.5
3.0,-3280.748755736836,0.3,3.9810717055349695e-5,4.1,0.15,0.12,0.94,0.8,0.93,0.7,0.14,5.0,14.0,0.55,0.2,0.15,6.0,2.1
