Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2924.8828952776703,0.01,0.00025118864315095795,10.3,0.095,0.13,0.98,0.6,0.91,0.95,0.08,0.55,0.25,10.0,0.8,0.4,0.3,2.0,3.7
2.0,-3211.789329622862,0.045,0.001584893192461114,7.1,0.1,0.12,0.98,0.75,0.94,0.85,0.04,0.25,3.0,10.0,0.75,0.35,0.2,4.4,2.9
3.0,-3220.882319302596,0.0625,0.0025118864315095794,5.3,0.135,0.09,0.97,0.75,0.95,0.9,0.04,0.3,3.25,10.0,0.7,0.3,0.25,3.9,2.9
