Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3025.402670607961,0.115,0.00630957344480193,4.5,0.2,0.145,0.91,0.9,0.98,1.0,0.04,0.4,0.0,4.0,0.45,0.6,0.3,5.6,2.5
2.0,-3315.771982272544,0.025,0.00630957344480193,4.3,0.355,0.175,0.92,0.95,0.98,0.85,0.1,0.7,0.0,9.0,0.5,0.75,0.25,5.9,1.7
3.0,-3399.9756630082193,0.03,0.01,7.7,0.205,0.135,0.98,0.95,0.93,1.0,0.04,0.25,0.0,4.0,0.9,0.75,0.45,5.3,2.5
