Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2975.966642489241,0.3,1.584893192461111e-12,8.1,0.09,0.17,0.94,0.7,0.95,1.0,0.12,2.25,5.0,0.7,0.3,0.15,2.9,2.9
2.0,-3276.2014451911114,0.2975,1.584893192461111e-12,6.5,0.11,0.08,0.98,0.7,0.91,0.9,0.1,1.0,10.0,0.65,0.2,0.25,4.6,2.1
3.0,-3279.604153362432,0.2925,1.0e-11,7.7,0.075,0.13,0.95,0.8,0.9,0.75,0.14,4.0,15.0,0.7,0.25,0.15,4.2,2.5
