Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-3018.207921120122,0.2875,0.01,5.3,0.255,0.21,0.92,0.95,0.98,0.9,0.0,0.25,0.25,4.0,0.55,0.7,0.35,5.6,2.5
2.0,-3308.723970030781,0.0775,0.015848931924611134,9.3,0.36,0.095,0.92,0.95,0.99,0.75,0.04,0.65,0.0,4.0,0.8,0.85,0.45,1.3,4.9
3.0,-3403.910209384131,0.03,0.003981071705534973,8.9,0.25,0.075,0.98,0.95,0.91,1.0,0.06,0.45,0.0,10.0,0.8,0.85,0.5,2.6,3.3
