Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-3011.885033399414,0.045,0.015848931924611134,14.9,0.135,0.07,0.95,0.6,0.96,1.0,0.02,0.65,3.75,6.1
2.0,-3305.8986548870193,0.0275,0.06309573444801933,14.9,0.125,0.025,0.91,0.65,1.0,1.0,0.04,0.95,4.75,5.7
3.0,-3327.7636108614192,0.035,0.001584893192461114,14.9,0.14,0.06,0.98,0.65,0.94,0.9,0.04,0.55,4.25,4.9
