Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2086.5735914788634,0.02,0.00025118864315095795,5.1,0.135,0.02,0.99,0.95,0.91,0.2,0.06,0.9,0.0,10.0,0.85,0.0,0.5,4.3,1.7,5.0
2.0,-2221.088675279513,0.02,0.00025118864315095795,14.9,0.055,0.06,0.99,0.95,0.87,0.2,0.08,0.9,0.0,10.0,0.9,0.0,0.65,1.2,3.9,5.0
3.0,-2002.6873899219759,0.0375,0.000630957344480193,7.5,0.12,0.045,0.99,0.95,0.86,0.2,0.08,0.9,0.0,4.0,0.75,0.0,0.5,2.1,2.5,5.0
