Fold,LogL,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,beta_R_2
1.0,-2056.444603288,14.9,0.14,0.03,0.88,0.8,1.0,0.35,0.15,6.5,3.7
2.0,-2202.908078676252,14.9,0.21,0.02,0.97,0.7,0.85,0.55,0.17,5.5,3.1
3.0,-1925.5663234618569,14.9,0.145,0.0,0.98,0.8,0.85,0.35,0.19,7.25,3.1
