Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2085.531350077162,0.03,0.00015848931924611142,12.1,0.07,0.0,0.97,0.95,0.92,0.2,0.04,0.95,0.0,20.0,1.0,0.0,0.65,1.5,3.9,4.0
2.0,-2224.2694125572466,0.0425,0.001584893192461114,10.1,0.085,0.0,0.97,0.95,0.9,0.2,0.02,0.95,0.0,10.0,0.85,0.0,0.7,1.6,3.3,4.0
3.0,-2010.5962045583099,0.0425,1.584893192461114e-6,14.5,0.065,0.0,0.97,0.95,0.88,0.2,0.1,0.75,0.0,15.0,0.9,0.0,0.65,0.9,4.7,4.0
