Fold,LogL,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,beta_R_2
1.0,-2056.338157755213,14.9,0.16,0.03,0.89,0.75,0.98,0.35,0.15,5.5,3.7
2.0,-2203.649472122461,14.9,0.185,0.02,0.95,0.7,0.85,0.6,0.19,5.5,3.1
3.0,-1924.585424407231,14.9,0.12,0.005,0.99,0.75,0.85,0.6,0.17,5.5,3.3
