Fold,LogL,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,beta_R_2
1.0,-2056.3577734075566,14.9,0.105,0.04,0.88,0.7,0.98,0.65,0.17,4.25,3.3
2.0,-2202.6429109932187,14.9,0.225,0.01,0.94,0.65,0.9,0.7,0.15,4.75,3.7
3.0,-1926.869007148093,14.9,0.15,0.0,0.99,0.8,0.87,0.45,0.15,7.0,3.7
