Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,N_S,beta_R_2
1.0,-2450.571349425106,0.5,0.00025118864315095795,6.4,0.08,0.135,0.97,0.95,10.0,1.7
2.0,-2572.8033486262293,0.5,0.000630957344480193,6.4,0.085,0.16,0.99,0.95,35.0,1.9
3.0,-2360.5784006018494,0.5,0.00039810717055349735,6.1,0.095,0.105,0.99,0.95,35.0,2.1
