Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-1932.6530787726253,0.0275,1.0e-12,14.9,0.11,0.025,0.96,0.8,0.94,0.75,0.04,0.95,7.75,4.3
2.0,-2099.922300263576,0.0375,1.0e-12,14.9,0.15,0.03,0.95,0.7,0.91,0.9,0.04,0.95,6.0,3.9
3.0,-1860.4910462111145,0.0325,0.001584893192461114,14.9,0.1,0.005,0.99,0.8,0.89,0.8,0.06,0.85,8.0,3.9
