Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2088.850225801811,0.015,0.00015848931924611142,14.9,0.045,0.025,0.97,0.95,0.95,0.2,0.04,0.95,0.0,10.0,0.9,0.0,0.8,1.6,4.3,5.0
2.0,-2224.9805469832277,0.015,0.00025118864315095795,5.9,0.145,0.06,0.99,0.95,0.9,0.2,0.06,0.9,0.0,2.0,0.6,0.0,0.5,5.4,1.5,5.0
3.0,-2003.3544955475907,0.02,0.000630957344480193,6.7,0.13,0.035,0.99,0.95,0.85,0.2,0.12,0.85,0.0,4.0,0.75,0.0,0.5,2.9,1.9,5.0
