Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-1933.5003097801177,0.0275,1.0e-12,14.9,0.135,0.05,0.94,0.65,0.98,0.95,0.02,0.95,4.5,4.9
2.0,-2104.467289043177,0.025,1.0e-12,14.9,0.165,0.02,0.97,0.75,0.88,0.75,0.08,0.9,7.0,3.7
3.0,-1862.6466630519885,0.0225,3.9810717055349695e-5,14.9,0.085,0.0,0.97,0.8,0.89,0.85,0.1,0.9,8.0,3.7
