Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-1971.1208918631128,0.02,0.06309573444801933,3.9,0.31,0.105,0.95,0.95,0.94,0.7,0.06,0.85,0.0,4.0,1.0,0.5,0.4,5.8,1.3
2.0,-2191.66309071978,0.02,0.015848931924611134,8.5,0.145,0.045,0.99,0.95,0.9,0.95,0.02,0.95,0.0,35.0,0.95,0.7,0.65,3.0,2.5
3.0,-1907.195738436944,0.0175,0.025118864315095794,6.1,0.175,0.055,0.99,0.95,0.91,0.95,0.04,0.8,0.0,20.0,1.0,0.55,0.6,4.3,1.7
