Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2083.8623435944733,0.03,0.000630957344480193,5.5,0.155,0.0,0.99,0.95,0.93,0.2,0.02,0.85,0.0,35.0,0.9,0.0,0.6,4.0,1.9,4.0
2.0,-2224.1213697338494,0.025,0.00025118864315095795,14.9,0.06,0.0,0.97,0.9,0.91,0.2,0.06,0.9,0.0,10.0,0.9,0.0,0.75,1.1,4.3,4.0
3.0,-2008.8249926161452,0.015,0.001,7.9,0.12,0.0,0.99,0.95,0.9,0.2,0.08,0.9,0.0,10.0,0.9,0.0,0.7,2.7,1.9,4.0
