Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2085.981438325695,0.04,3.981071705534969e-7,6.9,0.12,0.0,0.95,0.95,0.96,0.2,0.02,0.85,0.0,40.0,0.95,0.0,0.6,2.6,2.7,4.0
2.0,-2224.974485759225,0.04,0.00025118864315095795,9.9,0.09,0.0,0.98,0.9,0.87,0.2,0.06,0.85,0.0,10.0,0.85,0.0,0.6,1.6,3.1,4.0
3.0,-2008.1520746976366,0.03,6.309573444801929e-5,4.7,0.2,0.0,0.99,0.95,0.89,0.2,0.08,0.8,0.0,4.0,0.45,0.0,0.3,6.0,1.5,4.0
