Fold,LogL,p_change,eps,beta_R_1,gamma_R,N_S,beta_R_2
1.0,-2487.770148546892,0.99,3.9810717055349695e-5,4.5,0.95,45.0,4.3
2.0,-2624.9001150762792,0.89,1.5848931924611107e-11,5.3,0.92,55.0,4.5
3.0,-2384.4808042664367,0.83,1.0e-12,5.7,0.95,45.0,4.9
