Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2089.0140732609275,0.015,0.00015848931924611142,9.3,0.075,0.025,0.97,0.95,0.95,0.2,0.06,0.9,0.0,10.0,0.85,0.0,0.55,2.5,2.9,5.0
2.0,-2220.46166135839,0.025,0.00025118864315095795,8.9,0.09,0.065,0.99,0.95,0.88,0.2,0.06,0.9,0.0,10.0,0.85,0.0,0.6,2.2,2.5,5.0
3.0,-2003.6431291351676,0.0275,0.001584893192461114,4.1,0.22,0.025,0.99,0.95,0.9,0.2,0.06,0.9,0.0,4.0,0.75,0.0,0.6,5.1,1.1,5.0
