Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,N_S,beta_R_2
1.0,-2456.8562523156675,0.95,0.00015848931924611142,6.4,0.01,0.0,0.97,0.95,10.0,4.3
2.0,-2596.43633276934,0.54,1.0e-12,6.4,0.025,0.01,0.97,0.95,10.0,4.1
3.0,-2365.8770991864967,0.97,0.000630957344480193,6.2,0.04,0.005,0.96,0.95,15.0,4.9
