Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-1932.565394969169,0.0325,1.0e-12,14.9,0.12,0.04,0.93,0.65,0.98,0.95,0.02,0.95,4.5,4.7
2.0,-2098.5010112857326,0.0325,1.0e-12,14.9,0.17,0.04,0.99,0.65,0.89,0.9,0.04,0.95,5.0,3.5
3.0,-1861.63955343022,0.0225,1.0e-12,14.9,0.095,0.0,0.98,0.8,0.88,0.8,0.1,0.9,8.0,3.5
