Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-2009.102655642332,0.0275,0.025118864315095794,14.9,0.405,0.035,0.93,0.95,0.99,0.65,0.0,1.0,0.0,6.7
2.0,-2213.743583909451,0.0275,0.00630957344480193,14.9,0.425,0.055,0.95,0.9,0.94,0.9,0.04,0.95,0.0,4.3
3.0,-1941.0820696312564,0.02,0.06309573444801933,14.9,0.065,0.0,0.99,0.95,0.89,0.85,0.08,0.9,0.0,4.1
