Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-1932.4177235535612,0.025,1.0e-12,14.9,0.11,0.035,0.94,0.75,0.97,0.85,0.04,0.95,6.25,4.5
2.0,-2098.5010112857326,0.0325,1.0e-12,14.9,0.17,0.04,0.99,0.65,0.89,0.9,0.04,0.95,5.0,3.5
3.0,-1860.4910462111145,0.0325,0.001584893192461114,14.9,0.1,0.005,0.99,0.8,0.89,0.8,0.06,0.85,8.0,3.9
