Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-2005.8160129990238,0.035,0.003981071705534973,14.9,0.555,0.035,0.98,0.9,0.93,0.95,0.02,0.85,0.0,5.1
2.0,-2212.499344902782,0.0225,0.00630957344480193,14.9,0.6,0.01,0.97,0.95,0.9,0.8,0.06,0.9,0.0,4.5
3.0,-1933.5195104335774,0.0225,0.00630957344480193,14.9,0.5,0.0,0.96,0.95,0.93,0.85,0.08,0.85,0.0,4.1
