Fold,LogL,p_change,eps,beta_R_1,gamma_R,lambda_R,alpha,delta_alpha,Q_R_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2158.7164273104277,0.04,1.0e-12,8.1,0.99,0.88,0.04,0.95,0.0,0.0,1.0,1.0,0.55,2.0,2.9
2.0,-2318.6852912312743,0.025,0.00025118864315095795,7.5,0.96,0.89,0.08,0.9,0.0,30.0,0.9,0.8,0.65,2.5,2.1
3.0,-2105.6864417164425,0.025,0.003981071705534973,4.7,0.95,0.93,0.08,0.9,0.0,40.0,0.65,0.0,0.45,4.8,1.5
