Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-1882.8565068668856,0.02,1.0e-12,3.1,0.3,0.36,0.96,0.75,0.96,0.8,0.06,0.9,4.25,0.0,1.0,0.2,0.2,6.0,0.9
2.0,-2077.4473994281957,0.035,0.00039810717055349735,6.7,0.125,0.15,0.99,0.75,0.89,0.75,0.04,0.7,5.5,10.0,0.8,0.55,0.35,3.3,1.9
3.0,-1804.9449882736944,0.0475,1.0e-12,14.9,0.095,0.165,0.93,0.95,0.99,0.55,0.06,0.35,3.0,0.0,0.85,0.35,0.2,1.6,4.7
