Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-2008.3126865312727,0.0275,0.039810717055349734,14.9,0.21,0.005,0.94,0.95,0.97,0.7,0.02,0.95,0.0,5.9
2.0,-2211.4758107834546,0.025,0.01,14.9,0.34,0.0,0.99,0.95,0.89,0.85,0.04,0.95,0.25,4.7
3.0,-1945.6200951827839,0.04,0.1,14.9,0.06,0.015,0.9,0.95,1.0,0.75,0.02,0.9,0.0,4.9
