Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-1952.9441112612817,0.3,1.0e-12,7.7,0.115,0.225,0.99,0.8,0.91,0.7,0.08,0.5,0.0,1.0,0.2,0.15,5.6,1.7
2.0,-2135.8116576156262,0.3,0.06309573444801933,8.9,0.11,0.23,0.94,0.9,0.93,0.6,0.12,6.5,1.0,1.0,0.25,0.15,3.6,1.7
3.0,-1853.494017421004,0.2975,0.025118864315095794,4.1,0.165,0.305,0.95,0.75,0.91,0.7,0.16,0.25,2.0,0.95,0.15,0.15,5.9,0.9
