Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-1954.8643983396898,0.3,0.06309573444801933,4.7,0.17,0.135,0.91,0.85,0.97,0.55,0.12,0.0,1.0,1.0,0.15,0.25,6.0,1.1
2.0,-2133.3061632654812,0.3,0.001584893192461114,5.5,0.15,0.205,0.95,0.6,0.9,0.85,0.14,2.5,2.0,0.9,0.3,0.25,5.5,1.1
3.0,-1852.5918734865006,0.2725,0.00039810717055349735,4.3,0.125,0.185,0.99,0.95,0.89,0.4,0.14,8.5,1.0,1.0,0.25,0.3,6.0,0.7
