Fold,LogL,p_change,eps,beta_R_1,gamma_R,lambda_R,alpha,delta_alpha,Q_R_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2162.1116652906935,0.01,0.003981071705534973,7.7,0.99,0.93,0.04,0.95,0.0,4.0,1.0,1.0,0.8,4.2,1.9
2.0,-2318.86656079643,0.02,3.9810717055349694e-10,13.5,0.96,0.91,0.08,0.9,0.0,30.0,0.95,0.9,0.7,1.4,3.5
3.0,-2103.330652666427,0.0325,0.003981071705534973,7.7,0.95,0.91,0.1,0.8,0.0,40.0,1.0,0.35,0.65,2.0,2.3
