Fold,LogL,p_change,eps,beta_R_1,gamma_R,lambda_R,alpha,delta_alpha,Q_R_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-2159.702248901154,0.035,1.0e-12,5.3,0.99,0.92,0.02,0.8,0.0,0.0,0.75,1.0,0.45,4.9,2.1
2.0,-2318.9617240818693,0.035,0.00025118864315095795,6.3,0.96,0.91,0.04,0.95,0.0,30.0,0.75,0.75,0.55,3.0,2.1
3.0,-2103.002019111163,0.0275,0.00025118864315095795,14.9,0.93,0.94,0.1,0.9,0.0,40.0,1.0,0.65,0.7,1.0,4.3
