Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-1957.831677732499,0.0175,0.01,14.9,0.485,0.02,0.97,0.95,0.94,0.85,0.04,0.85,0.0,40.0,1.0,0.95,0.95,1.5,4.3
2.0,-2150.549730569328,0.015,0.01,6.1,0.57,0.075,0.99,0.9,0.91,0.85,0.04,0.95,0.0,4.0,0.8,0.85,0.55,4.7,1.7
3.0,-1889.704677806416,0.04,0.025118864315095794,7.1,0.275,0.11,0.99,0.9,0.92,0.9,0.0,0.65,0.0,20.0,1.0,0.7,0.7,3.4,2.3
