Fold,LogL,beta_R_1,gamma_R,lambda_R,alpha,Q_R_0,beta_R_2
1.0,-2294.5392129906836,14.9,0.9,0.94,0.17,0.0,3.7
2.0,-2432.0339412609824,14.9,0.96,0.86,0.17,0.0,3.3
3.0,-2197.6474170898873,14.9,0.99,0.85,0.17,0.0,3.3
