Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2086.0828172457823,0.025,0.00015848931924611142,6.1,0.115,0.02,0.97,0.95,0.94,0.2,0.04,0.9,0.0,10.0,0.8,0.0,0.5,3.6,2.3,5.0
2.0,-2222.4981096690603,0.0375,0.00025118864315095795,6.1,0.135,0.075,0.99,0.95,0.9,0.2,0.02,0.95,0.0,10.0,0.7,0.0,0.6,3.1,1.9,5.0
3.0,-2004.8845128182536,0.0175,0.000630957344480193,5.5,0.16,0.04,0.98,0.95,0.9,0.2,0.1,0.9,0.0,4.0,0.7,0.0,0.5,3.8,1.5,5.0
