Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-1957.2403761537598,0.3,0.039810717055349734,4.1,0.175,0.255,0.92,0.95,0.9,0.3,0.18,0.0,1.0,1.0,0.15,0.1,5.6,1.3
2.0,-2136.103939861438,0.3,1.584893192461111e-12,6.1,0.16,0.155,0.99,0.4,0.9,1.0,0.1,1.75,10.0,0.8,0.45,0.3,5.8,1.3
3.0,-1849.2024183393048,0.2075,0.025118864315095794,4.1,0.145,0.13,0.99,0.95,0.89,0.6,0.14,7.5,2.0,1.0,0.15,0.3,6.0,0.7
