Fold,LogL,beta_R_1,gamma_R,lambda_R,alpha,Q_R_0,beta_R_2
1.0,-2294.3378873800134,14.9,0.88,0.95,0.19,0.0,3.7
2.0,-2431.8415406752024,14.9,0.94,0.88,0.17,0.0,3.5
3.0,-2197.6474170898873,14.9,0.99,0.85,0.17,0.0,3.3
