Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2,C_thresh
1.0,-2086.3282062441817,0.03,3.981071705534969e-7,4.9,0.17,0.0,0.94,0.95,0.95,0.2,0.06,0.9,0.0,40.0,0.95,0.0,0.5,3.6,1.9,4.0
2.0,-2224.0399554348505,0.0225,0.00025118864315095795,11.3,0.08,0.0,0.99,0.9,0.89,0.2,0.06,0.8,0.0,10.0,0.9,0.0,0.7,1.8,3.1,4.0
3.0,-2006.006149418389,0.0225,6.309573444801929e-5,7.1,0.13,0.0,0.99,0.95,0.89,0.2,0.08,0.9,0.0,4.0,0.8,0.0,0.6,2.7,1.9,4.0
