Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,N_S,beta_R_2
1.0,-2365.98645055842,0.94,0.00015848931924611142,6.4,0.08,0.11,0.97,0.95,10.0,3.7
2.0,-2470.6462731831143,0.53,1.0e-12,6.3,0.095,0.16,0.97,0.9,10.0,3.7
3.0,-2234.178104302032,0.95,3.9810717055349694e-10,6.2,0.09,0.175,0.99,0.95,35.0,4.3
