LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
-5729.201541418684,0.0175,0.003981071705534973,4.5,0.165,0.15,0.96,0.7,0.94,0.8,0.08,0.55,0.0,25.0,0.55,0.15,0.15,5.6,1.9
-5730.487943944261,0.02,0.0025118864315095794,5.9,0.12,0.145,0.96,0.8,0.95,0.7,0.08,0.55,0.0,25.0,0.65,0.25,0.15,3.2,2.5
-5730.989530995954,0.0275,6.309573444801942e-10,5.9,0.12,0.17,0.96,0.65,0.93,0.8,0.08,0.4,0.75,25.0,0.75,0.3,0.2,4.0,2.1
-5732.024452990249,0.025,1.584893192461111e-10,7.5,0.095,0.11,0.96,0.8,0.96,0.75,0.06,0.4,3.5,25.0,0.8,0.4,0.25,3.3,2.7
-5733.229179672591,0.0125,1.0e-9,8.3,0.09,0.13,0.96,0.7,0.95,0.8,0.08,0.55,1.5,25.0,0.85,0.4,0.3,2.9,2.3
-5733.349706455878,0.015,0.003981071705534973,7.7,0.095,0.105,0.97,0.85,0.96,0.8,0.06,0.65,2.25,25.0,0.75,0.3,0.2,2.6,2.9
-5733.454677721163,0.0175,2.5118864315095823e-12,7.1,0.09,0.125,0.97,0.75,0.94,0.8,0.06,0.4,2.75,10.0,0.8,0.4,0.25,4.2,2.3
-5733.934352034168,0.02,1.0e-10,9.9,0.075,0.075,0.96,0.75,0.93,0.9,0.08,0.45,0.5,25.0,0.85,0.3,0.3,2.3,3.3
