Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,beta_R_2
1.0,-4109.212820664668,0.02,0.025118864315095794,14.9,0.145,0.05,0.98,0.5,0.93,0.95,0.04,0.95,2.5,5.3
2.0,-3746.9320920161467,0.025,0.00630957344480193,14.9,0.105,0.045,0.98,0.8,0.93,0.7,0.06,0.6,6.5,5.1
3.0,-3886.502021798463,0.035,0.025118864315095794,14.9,0.13,0.07,0.99,0.65,0.93,0.95,0.02,0.75,4.25,4.9
