Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4005.5707928670286,0.0175,0.003981071705534973,5.3,0.125,0.16,0.97,0.7,0.92,0.8,0.08,0.55,1.0,30.0,0.55,0.25,0.15,4.7,2.1
2.0,-3674.053975832188,0.005,3.981071705534969e-6,6.9,0.095,0.145,0.98,0.75,0.89,0.8,0.1,0.45,1.75,10.0,0.75,0.25,0.25,4.3,1.7
3.0,-3775.4740644797116,0.0325,2.5118864315095823e-7,6.3,0.115,0.11,0.94,0.7,0.99,0.9,0.06,0.45,1.0,14.0,0.8,0.25,0.25,3.7,2.3
