Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4005.5707928670286,0.0175,0.003981071705534973,5.3,0.125,0.16,0.97,0.7,0.92,0.8,0.08,0.55,1.0,30.0,0.55,0.25,0.15,4.7,2.1
2.0,-3668.035677305472,0.015,3.9810717055349695e-12,7.5,0.1,0.125,0.97,0.7,0.94,0.95,0.08,0.4,2.75,10.0,0.75,0.4,0.3,3.1,2.5
3.0,-3774.6483074825233,0.0225,1.0e-7,7.7,0.095,0.155,0.97,0.75,0.94,0.8,0.06,0.45,1.25,25.0,0.8,0.3,0.2,3.5,2.3
