Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4093.3119354806345,0.02,0.01,3.5,0.445,0.385,0.96,0.95,0.93,0.85,0.1,0.65,0.0,8.0,0.75,0.7,0.3,6.0,0.9
2.0,-3734.934458468456,0.0075,0.025118864315095794,13.3,0.6,0.08,0.99,0.95,0.95,0.6,0.04,0.75,0.0,10.0,0.8,0.95,0.65,3.1,3.5
3.0,-3830.0988394196092,0.04,0.015848931924611134,3.9,0.295,0.355,0.96,0.95,0.98,0.85,0.02,0.7,0.0,3.0,0.75,0.6,0.3,6.0,1.3
