Fold,LogL,p_change,eps,beta_R_1,beta_Ratio_1,beta_Ratio_2,gamma_R,gamma_N,lambda_R,lambda_N,alpha,delta_alpha,Q_N_0,N_PS,w2,w11,w12,w_scaler,beta_R_2
1.0,-4074.0308803075527,0.0175,0.01,5.9,0.27,0.145,0.97,0.95,0.88,0.9,0.1,0.6,0.0,7.0,0.65,0.75,0.3,4.3,1.9
2.0,-3725.876950437679,0.0325,0.003981071705534973,3.7,0.565,0.45,0.96,0.95,0.95,0.9,0.06,0.6,0.0,11.0,0.75,0.85,0.4,5.8,1.3
3.0,-3849.5111268640526,0.065,0.025118864315095794,10.1,0.085,0.11,0.98,0.95,0.91,0.9,0.02,0.65,0.0,3.0,0.85,0.55,0.3,1.9,3.3
